"Username","control","Response.RT","Direction","source","encoding","Scored"
"55f9e9564f51400011296872","Control",2058,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",1997,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",2048,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",2009,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",1562,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",1745,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",2414,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",1868,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",1580,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",1857,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",1730,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",1867,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",1285,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",2076,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",2249,"not presented","Prolific","Read",0
"55f9e9564f51400011296872","Control",2221,"not presented","Prolific","Read",1
"55f9e9564f51400011296872","Control",2204,"not presented","Prolific","Read",0
"565096a1d034af00056cee28","Control",2355,"not presented","Prolific","JOL",1
"565096a1d034af00056cee28","Control",2014,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",2031,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",2025,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1290,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1667,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1623,"not presented","Prolific","JOL",1
"565096a1d034af00056cee28","Control",1388,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1804,"not presented","Prolific","JOL",1
"565096a1d034af00056cee28","Control",1134,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1319,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1486,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1763,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1393,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",3428,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1796,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1817,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",2388,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1803,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1617,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1564,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1389,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1566,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1720,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1448,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1703,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1694,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1609,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1590,"not presented","Prolific","JOL",0
"565096a1d034af00056cee28","Control",1736,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",9845,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",7284,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1613,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1582,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1964,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1449,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1583,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1466,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1561,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1496,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1656,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1426,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1492,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1521,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1379,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1515,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1621,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1420,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1856,"not presented","Prolific","JOL",1
"568a7774316b10000c506283","Control",1895,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",2245,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1631,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1521,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1834,"not presented","Prolific","JOL",1
"568a7774316b10000c506283","Control",1516,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1538,"not presented","Prolific","JOL",1
"568a7774316b10000c506283","Control",1524,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1795,"not presented","Prolific","JOL",1
"568a7774316b10000c506283","Control",1642,"not presented","Prolific","JOL",0
"568a7774316b10000c506283","Control",1795,"not presented","Prolific","JOL",0
"568aebfc39a70e000b57acf9","Control",2740,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2108,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",1759,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",3284,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2911,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2101,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",5002,"not presented","Prolific","Read",1
"568aebfc39a70e000b57acf9","Control",2180,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",4378,"not presented","Prolific","Read",1
"568aebfc39a70e000b57acf9","Control",3425,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2233,"not presented","Prolific","Read",1
"568aebfc39a70e000b57acf9","Control",1837,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2059,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",4339,"not presented","Prolific","Read",1
"568aebfc39a70e000b57acf9","Control",1868,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2118,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2326,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",1967,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",1893,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2073,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",1651,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",1709,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",1759,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2040,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2234,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2116,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",1968,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2039,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",1687,"not presented","Prolific","Read",0
"568aebfc39a70e000b57acf9","Control",2299,"not presented","Prolific","Read",0
"56d1af6521cd29000b973ff2","Control",2303,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2340,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",1763,"not presented","Prolific","JOL",1
"56d1af6521cd29000b973ff2","Control",1951,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2060,"not presented","Prolific","JOL",1
"56d1af6521cd29000b973ff2","Control",2104,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2115,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2033,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",1919,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2044,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2658,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2843,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2509,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",1830,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2776,"not presented","Prolific","JOL",1
"56d1af6521cd29000b973ff2","Control",3075,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",5694,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2484,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2571,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2004,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2098,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2958,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2550,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2786,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",3282,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",6421,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2056,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",1950,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",2468,"not presented","Prolific","JOL",0
"56d1af6521cd29000b973ff2","Control",1949,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",5667,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",3869,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",4855,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",8470,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",2216,"not presented","Prolific","JOL",1
"5731e2e45b8b06000f7e3671","Control",4349,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",3539,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",10907,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",6372,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",3849,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",8663,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",6003,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",3535,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",3535,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",9227,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",3182,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",5315,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",5420,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",2865,"not presented","Prolific","JOL",1
"5731e2e45b8b06000f7e3671","Control",11400,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",6476,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",5323,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",3066,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",8622,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",2782,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",2283,"not presented","Prolific","JOL",1
"5731e2e45b8b06000f7e3671","Control",11061,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",4708,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",3491,"not presented","Prolific","JOL",0
"5731e2e45b8b06000f7e3671","Control",3609,"not presented","Prolific","JOL",0
"5891dd715c15e00001583fbc","Control",2726,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2924,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2991,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2402,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2428,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2367,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2549,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",3091,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2463,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2744,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2172,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2792,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2761,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",3103,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2843,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2736,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2703,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2146,"not presented","Prolific","Read",1
"5891dd715c15e00001583fbc","Control",2309,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2340,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2384,"not presented","Prolific","Read",1
"5891dd715c15e00001583fbc","Control",2347,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2396,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2677,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",3038,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2554,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2381,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2537,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2295,"not presented","Prolific","Read",0
"5891dd715c15e00001583fbc","Control",2142,"not presented","Prolific","Read",0
"58ae2cb09e040a000139af76","Control",3772,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3845,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3134,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3138,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3051,"not presented","Prolific","JOL",1
"58ae2cb09e040a000139af76","Control",3183,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3227,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3003,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",4193,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",4063,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",2816,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",4211,"not presented","Prolific","JOL",1
"58ae2cb09e040a000139af76","Control",3525,"not presented","Prolific","JOL",1
"58ae2cb09e040a000139af76","Control",3853,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3245,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3515,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",2881,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3134,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3312,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3113,"not presented","Prolific","JOL",1
"58ae2cb09e040a000139af76","Control",2769,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",2890,"not presented","Prolific","JOL",1
"58ae2cb09e040a000139af76","Control",2795,"not presented","Prolific","JOL",1
"58ae2cb09e040a000139af76","Control",2529,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",2923,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3062,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",3647,"not presented","Prolific","JOL",1
"58ae2cb09e040a000139af76","Control",2825,"not presented","Prolific","JOL",0
"58ae2cb09e040a000139af76","Control",2830,"not presented","Prolific","JOL",1
"58ae2cb09e040a000139af76","Control",3054,"not presented","Prolific","JOL",1
"594e2bb7a402220001d84067","Control",2606,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2442,"not presented","Prolific","JOL",1
"594e2bb7a402220001d84067","Control",2291,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",3299,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2048,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",6692,"not presented","Prolific","JOL",1
"594e2bb7a402220001d84067","Control",2640,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2266,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2209,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",1980,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",4379,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2194,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2068,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2404,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2507,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2082,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",1892,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2093,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2092,"not presented","Prolific","JOL",1
"594e2bb7a402220001d84067","Control",2290,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",1902,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2169,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",1997,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2896,"not presented","Prolific","JOL",1
"594e2bb7a402220001d84067","Control",3196,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2199,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",1999,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",2025,"not presented","Prolific","JOL",0
"594e2bb7a402220001d84067","Control",4963,"not presented","Prolific","JOL",1
"594e2bb7a402220001d84067","Control",2033,"not presented","Prolific","JOL",0
"59669e237c13bd00018ea020","Control",3403,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3163,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3293,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",9003,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3724,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3658,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",5123,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",5111,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3402,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3454,"not presented","Prolific","Read",1
"59669e237c13bd00018ea020","Control",3199,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",8303,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3328,"not presented","Prolific","Read",1
"59669e237c13bd00018ea020","Control",3770,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3957,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",4280,"not presented","Prolific","Read",1
"59669e237c13bd00018ea020","Control",3811,"not presented","Prolific","Read",1
"59669e237c13bd00018ea020","Control",3332,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3265,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3530,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3176,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",4281,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3415,"not presented","Prolific","Read",1
"59669e237c13bd00018ea020","Control",3858,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",4775,"not presented","Prolific","Read",1
"59669e237c13bd00018ea020","Control",3143,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3594,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3301,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",5682,"not presented","Prolific","Read",0
"59669e237c13bd00018ea020","Control",3537,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",3160,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2597,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",3327,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",4625,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2293,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",4846,"not presented","Prolific","Read",1
"5aafd9eff69e940001d88bf4","Control",2601,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",3613,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2456,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2726,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",4577,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",6193,"not presented","Prolific","Read",1
"5aafd9eff69e940001d88bf4","Control",3886,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2280,"not presented","Prolific","Read",1
"5aafd9eff69e940001d88bf4","Control",2723,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",3193,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",3512,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2354,"not presented","Prolific","Read",1
"5aafd9eff69e940001d88bf4","Control",2937,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2576,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2129,"not presented","Prolific","Read",1
"5aafd9eff69e940001d88bf4","Control",6028,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",5168,"not presented","Prolific","Read",1
"5aafd9eff69e940001d88bf4","Control",3210,"not presented","Prolific","Read",1
"5aafd9eff69e940001d88bf4","Control",3306,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2487,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",2278,"not presented","Prolific","Read",1
"5aafd9eff69e940001d88bf4","Control",2915,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",3860,"not presented","Prolific","Read",0
"5aafd9eff69e940001d88bf4","Control",4824,"not presented","Prolific","Read",0
"5b17642244127b00013f7f65","Control",2874,"not presented","Prolific","JOL",0
"5b17642244127b00013f7f65","Control",2368,"not presented","Prolific","JOL",0
"5b17642244127b00013f7f65","Control",5106,"not presented","Prolific","JOL",0
"5b17642244127b00013f7f65","Control",3255,"not presented","Prolific","JOL",0
"5b17642244127b00013f7f65","Control",6725,"not presented","Prolific","JOL",0
"5b17642244127b00013f7f65","Control",3441,"not presented","Prolific","JOL",1
"5b17642244127b00013f7f65","Control",2702,"not presented","Prolific","JOL",1
"5b17642244127b00013f7f65","Control",2501,"not presented","Prolific","JOL",0
"5b17642244127b00013f7f65","Control",3730,"not presented","Prolific","JOL",0
"5b17642244127b00013f7f65","Control",2573,"not presented","Prolific","JOL",0
"5b17642244127b00013f7f65","Control",2672,"not presented","Prolific","JOL",1
"5b17642244127b00013f7f65","Control",5890,"not presented","Prolific","JOL",0
