"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Procedure.Shuffle.1"
"w10133134_lpc","box","box",1,"Read","beach","Study1","M","Study Phase",1779,"Recall1"
"w10143398_abc","idk","box",1,"Read","beach","Study1","M","Study Phase",2391,"Recall1"
"w10157282_HBR","sand","box",1,"Read","beach","Study1","M","Study Phase",154,"Recall1"
"10143815SK","pie","pie",1,"Read","birthday","Study1","M","Study Phase",1209,"Recall1"
"BrettThompson","pie","pie",1,"Read Recall","birthday","Study1","M","Study Phase",7711,"Recall1"
"BrookeMask","pie","pie",1,"Read Recall","birthday","Study1","M","Study Phase",1672,"Recall1"
"jasminesherman","","pie",1,"Read Recall","birthday","Study1","M","Study Phase",1019,"Recall1"
"NicolasMunoz","","pie",1,"Read Recall","birthday","Study1","M","Study Phase",1321,"Recall1"
"TaravionCosey","cake ","pie",1,"Read Recall","birthday","Study1","M","Study Phase",9199,"Recall1"
"w10046339_pw","cake","pie",1,"Read","birthday","Study1","M","Study Phase",1245,"Recall1"
"W10057641NS","","pie",1,"Read","birthday","Study1","M","Study Phase",247,"Recall1"
"w10062326CT","pie","pie",1,"Read","birthday","Study1","M","Study Phase",2492,"Recall1"
"w10080028_sac","pie","pie",1,"Read","birthday","Study1","M","Study Phase",1137,"Recall1"
"w10085225L.S","cake","pie",1,"Read","birthday","Study1","M","Study Phase",826,"Recall1"
"w10101381_mgk","pie","pie",1,"Read","birthday","Study1","M","Study Phase",2048,"Recall1"
"w10118390Eh","party","pie",1,"Read","birthday","Study1","M","Study Phase",415,"Recall1"
"w10128215_bnc","pie","pie",1,"Read","birthday","Study1","M","Study Phase",1216,"Recall1"
"w10133134_lpc","pie","pie",1,"Read","birthday","Study1","M","Study Phase",1614,"Recall1"
"w10143398_abc","pie","pie",1,"Read","birthday","Study1","M","Study Phase",6953,"Recall1"
"w10157282_HBR","pie","pie",1,"Read","birthday","Study1","M","Study Phase",1024,"Recall1"
"10143815SK","birthday","hand",1,"Read","cake","Study1","U","Study Phase",1722,"Recall1"
"BrettThompson","cup","hand",1,"Read Recall","cake","Study1","U","Study Phase",2766,"Recall1"
"BrookeMask","pie","hand",1,"Read Recall","cake","Study1","U","Study Phase",1144,"Recall1"
"jasminesherman","","hand",1,"Read Recall","cake","Study1","U","Study Phase",886,"Recall1"
"NicolasMunoz","charm","hand",1,"Read Recall","cake","Study1","U","Study Phase",1236,"Recall1"
"TaravionCosey","hand","hand",1,"Read Recall","cake","Study1","U","Study Phase",5695,"Recall1"
"w10046339_pw","hand","hand",1,"Read","cake","Study1","U","Study Phase",1458,"Recall1"
"W10057641NS","jam","hand",1,"Read","cake","Study1","U","Study Phase",122,"Recall1"
"w10062326CT","fork","hand",1,"Read","cake","Study1","U","Study Phase",7694,"Recall1"
"w10080028_sac","","hand",1,"Read","cake","Study1","U","Study Phase",1447,"Recall1"
"w10085225L.S","bake","hand",1,"Read","cake","Study1","U","Study Phase",800,"Recall1"
"w10101381_mgk","hand","hand",1,"Read","cake","Study1","U","Study Phase",4235,"Recall1"
"w10118390Eh","cup","hand",1,"Read","cake","Study1","U","Study Phase",485,"Recall1"
"w10128215_bnc","","hand",1,"Read","cake","Study1","U","Study Phase",1172,"Recall1"
"w10133134_lpc","pie","hand",1,"Read","cake","Study1","U","Study Phase",1895,"Recall1"
"w10143398_abc","idk","hand",1,"Read","cake","Study1","U","Study Phase",2650,"Recall1"
"w10157282_HBR","plate","hand",1,"Read","cake","Study1","U","Study Phase",1088,"Recall1"
"10143815SK","","carpet",1,"Read","ceiling","Study1","M","Study Phase",1510,"Recall1"
"BrettThompson","floor","carpet",1,"Read Recall","ceiling","Study1","M","Study Phase",2160,"Recall1"
"BrookeMask","floor","carpet",1,"Read Recall","ceiling","Study1","M","Study Phase",1486,"Recall1"
"jasminesherman","","carpet",1,"Read Recall","ceiling","Study1","M","Study Phase",4138,"Recall1"
"NicolasMunoz","fan","carpet",1,"Read Recall","ceiling","Study1","M","Study Phase",680,"Recall1"
"TaravionCosey","carpet ","carpet",1,"Read Recall","ceiling","Study1","M","Study Phase",21744,"Recall1"
"w10046339_pw","carpet","carpet",1,"Read","ceiling","Study1","M","Study Phase",2062,"Recall1"
"W10057641NS","","carpet",1,"Read","ceiling","Study1","M","Study Phase",247,"Recall1"
"w10062326CT","carpet","carpet",1,"Read","ceiling","Study1","M","Study Phase",3255,"Recall1"
"w10080028_sac","floor","carpet",1,"Read","ceiling","Study1","M","Study Phase",1482,"Recall1"
"w10085225L.S","fan","carpet",1,"Read","ceiling","Study1","M","Study Phase",841,"Recall1"
"w10101381_mgk","rug?","carpet",1,"Read","ceiling","Study1","M","Study Phase",2654,"Recall1"
"w10118390Eh","plaster","carpet",1,"Read","ceiling","Study1","M","Study Phase",472,"Recall1"
"w10128215_bnc","fan","carpet",1,"Read","ceiling","Study1","M","Study Phase",2089,"Recall1"
"w10133134_lpc","sky","carpet",1,"Read","ceiling","Study1","M","Study Phase",1013,"Recall1"
"w10143398_abc","floor","carpet",1,"Read","ceiling","Study1","M","Study Phase",2601,"Recall1"
"w10157282_HBR","roof","carpet",1,"Read","ceiling","Study1","M","Study Phase",1374,"Recall1"
"10143815SK","root","dance",1,"Read","circle","Study1","M","Study Phase",985,"Recall1"
"BrettThompson","pizza","dance",1,"Read Recall","circle","Study1","M","Study Phase",2596,"Recall1"
"BrookeMask","dance","dance",1,"Read Recall","circle","Study1","M","Study Phase",1585,"Recall1"
"jasminesherman","","dance",1,"Read Recall","circle","Study1","M","Study Phase",771,"Recall1"
"NicolasMunoz","","dance",1,"Read Recall","circle","Study1","M","Study Phase",962,"Recall1"
"TaravionCosey","dance ","dance",1,"Read Recall","circle","Study1","M","Study Phase",9031,"Recall1"
"w10046339_pw","dance","dance",1,"Read","circle","Study1","M","Study Phase",1828,"Recall1"
"W10057641NS","","dance",1,"Read","circle","Study1","M","Study Phase",266,"Recall1"
"w10062326CT","dance","dance",1,"Read","circle","Study1","M","Study Phase",3769,"Recall1"
"w10080028_sac","","dance",1,"Read","circle","Study1","M","Study Phase",1041,"Recall1"
"w10085225L.S","square","dance",1,"Read","circle","Study1","M","Study Phase",549,"Recall1"
"w10101381_mgk","?","dance",1,"Read","circle","Study1","M","Study Phase",1497,"Recall1"
"w10118390Eh","square","dance",1,"Read","circle","Study1","M","Study Phase",324,"Recall1"
"w10128215_bnc","shape","dance",1,"Read","circle","Study1","M","Study Phase",1439,"Recall1"
"w10133134_lpc","frank","dance",1,"Read","circle","Study1","M","Study Phase",1682,"Recall1"
"w10143398_abc","idk","dance",1,"Read","circle","Study1","M","Study Phase",1802,"Recall1"
"w10157282_HBR","round","dance",1,"Read","circle","Study1","M","Study Phase",1281,"Recall1"
"10143815SK","","election",1,"Read","crackle","Study1","U","Study Phase",1024,"Recall1"
"BrettThompson","pop","election",1,"Read Recall","crackle","Study1","U","Study Phase",2676,"Recall1"
"BrookeMask","","election",1,"Read Recall","crackle","Study1","U","Study Phase",1438,"Recall1"
"jasminesherman","","election",1,"Read Recall","crackle","Study1","U","Study Phase",725,"Recall1"
"NicolasMunoz","electric","election",1,"Read Recall","crackle","Study1","U","Study Phase",2011,"Recall1"
"TaravionCosey","election","election",1,"Read Recall","crackle","Study1","U","Study Phase",13393,"Recall1"
"w10046339_pw","election","election",1,"Read","crackle","Study1","U","Study Phase",2675,"Recall1"
"W10057641NS","","election",1,"Read","crackle","Study1","U","Study Phase",259,"Recall1"
"w10062326CT","election","election",1,"Read","crackle","Study1","U","Study Phase",3619,"Recall1"
"w10080028_sac","","election",1,"Read","crackle","Study1","U","Study Phase",2075,"Recall1"
"w10085225L.S","fire","election",1,"Read","crackle","Study1","U","Study Phase",672,"Recall1"
"w10101381_mgk","?","election",1,"Read","crackle","Study1","U","Study Phase",3435,"Recall1"
"w10118390Eh","pop","election",1,"Read","crackle","Study1","U","Study Phase",480,"Recall1"
"w10128215_bnc","pop","election",1,"Read","crackle","Study1","U","Study Phase",1574,"Recall1"
"w10133134_lpc","pop","election",1,"Read","crackle","Study1","U","Study Phase",2249,"Recall1"
"w10143398_abc","idk","election",1,"Read","crackle","Study1","U","Study Phase",2690,"Recall1"
"w10157282_HBR","pop","election",1,"Read","crackle","Study1","U","Study Phase",2675,"Recall1"
"10143815SK","card","card",1,"Read","credit","Study1","F","Study Phase",1611,"Recall1"
"BrettThompson","card","card",1,"Read Recall","credit","Study1","F","Study Phase",2529,"Recall1"
"BrookeMask","card","card",1,"Read Recall","credit","Study1","F","Study Phase",817,"Recall1"
"jasminesherman","","card",1,"Read Recall","credit","Study1","F","Study Phase",996,"Recall1"
"NicolasMunoz","","card",1,"Read Recall","credit","Study1","F","Study Phase",2591,"Recall1"
"TaravionCosey","card","card",1,"Read Recall","credit","Study1","F","Study Phase",9590,"Recall1"
"w10046339_pw","card","card",1,"Read","credit","Study1","F","Study Phase",1321,"Recall1"
"W10057641NS","","card",1,"Read","credit","Study1","F","Study Phase",225,"Recall1"
"w10062326CT","card","card",1,"Read","credit","Study1","F","Study Phase",1834,"Recall1"
"w10080028_sac","card","card",1,"Read","credit","Study1","F","Study Phase",1406,"Recall1"
"w10085225L.S","card","card",1,"Read","credit","Study1","F","Study Phase",1699,"Recall1"
"w10101381_mgk","card","card",1,"Read","credit","Study1","F","Study Phase",1044,"Recall1"
"w10118390Eh","card","card",1,"Read","credit","Study1","F","Study Phase",529,"Recall1"
"w10128215_bnc","money","card",1,"Read","credit","Study1","F","Study Phase",1564,"Recall1"
"w10133134_lpc","card","card",1,"Read","credit","Study1","F","Study Phase",997,"Recall1"
"w10143398_abc","card","card",1,"Read","credit","Study1","F","Study Phase",2833,"Recall1"
"w10157282_HBR","card","card",1,"Read","credit","Study1","F","Study Phase",1020,"Recall1"
"10143815SK","","bottle",1,"Read","cry","Study1","M","Study Phase",1545,"Recall1"
"BrettThompson","bottle","bottle",1,"Read Recall","cry","Study1","M","Study Phase",2005,"Recall1"
"BrookeMask","sad","bottle",1,"Read Recall","cry","Study1","M","Study Phase",796,"Recall1"
"jasminesherman","","bottle",1,"Read Recall","cry","Study1","M","Study Phase",5275,"Recall1"
"NicolasMunoz","bottle","bottle",1,"Read Recall","cry","Study1","M","Study Phase",947,"Recall1"
"TaravionCosey","bottle ","bottle",1,"Read Recall","cry","Study1","M","Study Phase",11638,"Recall1"
"w10046339_pw","bottle","bottle",1,"Read","cry","Study1","M","Study Phase",1506,"Recall1"
"W10057641NS","","bottle",1,"Read","cry","Study1","M","Study Phase",234,"Recall1"
"w10062326CT","tear","bottle",1,"Read","cry","Study1","M","Study Phase",2879,"Recall1"
"w10080028_sac","bottle","bottle",1,"Read","cry","Study1","M","Study Phase",1843,"Recall1"
"w10085225L.S","baby","bottle",1,"Read","cry","Study1","M","Study Phase",1209,"Recall1"
"w10101381_mgk","?","bottle",1,"Read","cry","Study1","M","Study Phase",3619,"Recall1"
"w10118390Eh","laugh","bottle",1,"Read","cry","Study1","M","Study Phase",401,"Recall1"
"w10128215_bnc","sad","bottle",1,"Read","cry","Study1","M","Study Phase",1905,"Recall1"
"w10133134_lpc","happy","bottle",1,"Read","cry","Study1","M","Study Phase",1242,"Recall1"
"w10143398_abc","bottle","bottle",1,"Read","cry","Study1","M","Study Phase",2249,"Recall1"
"w10157282_HBR","sad","bottle",1,"Read","cry","Study1","M","Study Phase",1628,"Recall1"
"10143815SK","night","dark",1,"Read","day","Study1","M","Study Phase",1127,"Recall1"
"BrettThompson","suset","dark",1,"Read Recall","day","Study1","M","Study Phase",1876,"Recall1"
"BrookeMask","night","dark",1,"Read Recall","day","Study1","M","Study Phase",404,"Recall1"
"jasminesherman","","dark",1,"Read Recall","day","Study1","M","Study Phase",990,"Recall1"
"NicolasMunoz","night","dark",1,"Read Recall","day","Study1","M","Study Phase",1178,"Recall1"
"TaravionCosey","dark","dark",1,"Read Recall","day","Study1","M","Study Phase",15341,"Recall1"
"w10046339_pw","dark","dark",1,"Read","day","Study1","M","Study Phase",1050,"Recall1"
"W10057641NS","","dark",1,"Read","day","Study1","M","Study Phase",260,"Recall1"
"w10062326CT","morning","dark",1,"Read","day","Study1","M","Study Phase",1359,"Recall1"
"w10080028_sac","dark","dark",1,"Read","day","Study1","M","Study Phase",1283,"Recall1"
"w10085225L.S","night","dark",1,"Read","day","Study1","M","Study Phase",721,"Recall1"
"w10101381_mgk","?","dark",1,"Read","day","Study1","M","Study Phase",1082,"Recall1"
"w10118390Eh","night","dark",1,"Read","day","Study1","M","Study Phase",461,"Recall1"
"w10128215_bnc","weak","dark",1,"Read","day","Study1","M","Study Phase",1385,"Recall1"
"w10133134_lpc","night","dark",1,"Read","day","Study1","M","Study Phase",1503,"Recall1"
"w10143398_abc","dark","dark",1,"Read","day","Study1","M","Study Phase",1931,"Recall1"
"w10157282_HBR","night","dark",1,"Read","day","Study1","M","Study Phase",1548,"Recall1"
"10143815SK","","bang",1,"Read","fuzzy","Study1","U","Study Phase",84930,"Recall1"
"BrettThompson","warm","bang",1,"Read Recall","fuzzy","Study1","U","Study Phase",2236,"Recall1"
"BrookeMask","socks","bang",1,"Read Recall","fuzzy","Study1","U","Study Phase",501,"Recall1"
"jasminesherman","","bang",1,"Read Recall","fuzzy","Study1","U","Study Phase",1637,"Recall1"
"NicolasMunoz","","bang",1,"Read Recall","fuzzy","Study1","U","Study Phase",840,"Recall1"
"TaravionCosey","bong","bang",1,"Read Recall","fuzzy","Study1","U","Study Phase",7667,"Recall1"
"w10046339_pw","silk","bang",1,"Read","fuzzy","Study1","U","Study Phase",1438,"Recall1"
"W10057641NS","","bang",1,"Read","fuzzy","Study1","U","Study Phase",239,"Recall1"
"w10062326CT","bomb","bang",1,"Read","fuzzy","Study1","U","Study Phase",4097,"Recall1"
"w10080028_sac","bang","bang",1,"Read","fuzzy","Study1","U","Study Phase",1173,"Recall1"
"w10085225L.S","socks","bang",1,"Read","fuzzy","Study1","U","Study Phase",858,"Recall1"
"w10101381_mgk","?","bang",1,"Read","fuzzy","Study1","U","Study Phase",2760,"Recall1"
"w10118390Eh","dog","bang",1,"Read","fuzzy","Study1","U","Study Phase",646,"Recall1"
"w10128215_bnc","","bang",1,"Read","fuzzy","Study1","U","Study Phase",2066,"Recall1"
"w10133134_lpc","furry","bang",1,"Read","fuzzy","Study1","U","Study Phase",1389,"Recall1"
"w10143398_abc","hard","bang",1,"Read","fuzzy","Study1","U","Study Phase",2329,"Recall1"
"w10157282_HBR","soft","bang",1,"Read","fuzzy","Study1","U","Study Phase",1433,"Recall1"
"10143815SK","","steak",1,"Read","give","Study1","U","Study Phase",2245,"Recall1"
"BrettThompson","taken","steak",1,"Read Recall","give","Study1","U","Study Phase",25679,"Recall1"
"BrookeMask","take","steak",1,"Read Recall","give","Study1","U","Study Phase",840,"Recall1"
"jasminesherman","","steak",1,"Read Recall","give","Study1","U","Study Phase",771,"Recall1"
"NicolasMunoz","steak","steak",1,"Read Recall","give","Study1","U","Study Phase",1319,"Recall1"
"TaravionCosey","steak","steak",1,"Read Recall","give","Study1","U","Study Phase",8731,"Recall1"
"w10046339_pw","take","steak",1,"Read","give","Study1","U","Study Phase",1488,"Recall1"
"W10057641NS","","steak",1,"Read","give","Study1","U","Study Phase",267,"Recall1"
"w10062326CT","hand","steak",1,"Read","give","Study1","U","Study Phase",2860,"Recall1"
"w10080028_sac","steak","steak",1,"Read","give","Study1","U","Study Phase",1350,"Recall1"
"w10085225L.S","take","steak",1,"Read","give","Study1","U","Study Phase",596,"Recall1"
"w10101381_mgk","?","steak",1,"Read","give","Study1","U","Study Phase",2667,"Recall1"
"w10118390Eh","take","steak",1,"Read","give","Study1","U","Study Phase",512,"Recall1"
"w10128215_bnc","","steak",1,"Read","give","Study1","U","Study Phase",1065,"Recall1"
"w10133134_lpc","take","steak",1,"Read","give","Study1","U","Study Phase",2569,"Recall1"
"w10143398_abc","steak","steak",1,"Read","give","Study1","U","Study Phase",2559,"Recall1"
"w10157282_HBR","take","steak",1,"Read","give","Study1","U","Study Phase",1226,"Recall1"
"10143815SK","","cotton",1,"Read","hard","Study1","M","Study Phase",2178,"Recall1"
"BrettThompson","marble","cotton",1,"Read Recall","hard","Study1","M","Study Phase",3682,"Recall1"
"BrookeMask","surface","cotton",1,"Read Recall","hard","Study1","M","Study Phase",425,"Recall1"
"jasminesherman","","cotton",1,"Read Recall","hard","Study1","M","Study Phase",782,"Recall1"
"NicolasMunoz","soft","cotton",1,"Read Recall","hard","Study1","M","Study Phase",829,"Recall1"
"TaravionCosey","soft","cotton",1,"Read Recall","hard","Study1","M","Study Phase",9506,"Recall1"
"w10046339_pw","ball","cotton",1,"Read","hard","Study1","M","Study Phase",1754,"Recall1"
"W10057641NS","","cotton",1,"Read","hard","Study1","M","Study Phase",262,"Recall1"
"w10062326CT","cotton","cotton",1,"Read","hard","Study1","M","Study Phase",2617,"Recall1"
"w10080028_sac","","cotton",1,"Read","hard","Study1","M","Study Phase",1826,"Recall1"
"w10085225L.S","soft","cotton",1,"Read","hard","Study1","M","Study Phase",320,"Recall1"
"w10101381_mgk","?","cotton",1,"Read","hard","Study1","M","Study Phase",1987,"Recall1"
"w10118390Eh","rough","cotton",1,"Read","hard","Study1","M","Study Phase",479,"Recall1"
"w10128215_bnc","soft","cotton",1,"Read","hard","Study1","M","Study Phase",1343,"Recall1"
"w10133134_lpc","rough","cotton",1,"Read","hard","Study1","M","Study Phase",1734,"Recall1"
"w10143398_abc","idk","cotton",1,"Read","hard","Study1","M","Study Phase",2211,"Recall1"
"w10157282_HBR","soft","cotton",1,"Read","hard","Study1","M","Study Phase",1010,"Recall1"
"10143815SK","","wheel",1,"Read","horse","Study1","M","Study Phase",3373,"Recall1"
"BrettThompson","mule","wheel",1,"Read Recall","horse","Study1","M","Study Phase",2139,"Recall1"
"BrookeMask","ride","wheel",1,"Read Recall","horse","Study1","M","Study Phase",576,"Recall1"
"jasminesherman","","wheel",1,"Read Recall","horse","Study1","M","Study Phase",742,"Recall1"
"NicolasMunoz","","wheel",1,"Read Recall","horse","Study1","M","Study Phase",870,"Recall1"
"TaravionCosey","wheel ","wheel",1,"Read Recall","horse","Study1","M","Study Phase",21952,"Recall1"
"w10046339_pw","ride","wheel",1,"Read","horse","Study1","M","Study Phase",1305,"Recall1"
"W10057641NS","","wheel",1,"Read","horse","Study1","M","Study Phase",222,"Recall1"
"w10062326CT","wheel","wheel",1,"Read","horse","Study1","M","Study Phase",2493,"Recall1"
"w10080028_sac","wheel","wheel",1,"Read","horse","Study1","M","Study Phase",1778,"Recall1"
"w10085225L.S","cow","wheel",1,"Read","horse","Study1","M","Study Phase",2766,"Recall1"
"w10101381_mgk","?","wheel",1,"Read","horse","Study1","M","Study Phase",3146,"Recall1"
"w10118390Eh","ride","wheel",1,"Read","horse","Study1","M","Study Phase",463,"Recall1"
"w10128215_bnc","saddle","wheel",1,"Read","horse","Study1","M","Study Phase",1500,"Recall1"
"w10133134_lpc","ride","wheel",1,"Read","horse","Study1","M","Study Phase",1815,"Recall1"
"w10143398_abc","idk","wheel",1,"Read","horse","Study1","M","Study Phase",2926,"Recall1"
"w10157282_HBR","carriage","wheel",1,"Read","horse","Study1","M","Study Phase",2246,"Recall1"
"10143815SK","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1827,"Recall1"
"BrettThompson","clean","clean",1,"Read Recall","hygiene","Study1","F","Study Phase",3002,"Recall1"
"BrookeMask","clean","clean",1,"Read Recall","hygiene","Study1","F","Study Phase",854,"Recall1"
"jasminesherman","clean","clean",1,"Read Recall","hygiene","Study1","F","Study Phase",2417,"Recall1"
"NicolasMunoz","clean","clean",1,"Read Recall","hygiene","Study1","F","Study Phase",1011,"Recall1"
"TaravionCosey","clean ","clean",1,"Read Recall","hygiene","Study1","F","Study Phase",9216,"Recall1"
"w10046339_pw","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1963,"Recall1"
"W10057641NS","","clean",1,"Read","hygiene","Study1","F","Study Phase",204,"Recall1"
"w10062326CT","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",831,"Recall1"
"w10080028_sac","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",2192,"Recall1"
"w10085225L.S","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1575,"Recall1"
"w10101381_mgk","?","clean",1,"Read","hygiene","Study1","F","Study Phase",1578,"Recall1"
"w10118390Eh","brush","clean",1,"Read","hygiene","Study1","F","Study Phase",630,"Recall1"
"w10128215_bnc","shower","clean",1,"Read","hygiene","Study1","F","Study Phase",1579,"Recall1"
"w10133134_lpc","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1266,"Recall1"
"w10143398_abc","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1223,"Recall1"
"w10157282_HBR","clean","clean",1,"Read","hygiene","Study1","F","Study Phase",1190,"Recall1"
"10143815SK","hunt","rod",1,"Read","keys","Study1","U","Study Phase",1233,"Recall1"
"BrettThompson","car","rod",1,"Read Recall","keys","Study1","U","Study Phase",2397,"Recall1"
"BrookeMask","meat","rod",1,"Read Recall","keys","Study1","U","Study Phase",1539,"Recall1"
"jasminesherman","","rod",1,"Read Recall","keys","Study1","U","Study Phase",810,"Recall1"
"NicolasMunoz","flash","rod",1,"Read Recall","keys","Study1","U","Study Phase",2216,"Recall1"
"TaravionCosey","car","rod",1,"Read Recall","keys","Study1","U","Study Phase",6270,"Recall1"
"w10046339_pw","pole","rod",1,"Read","keys","Study1","U","Study Phase",1613,"Recall1"
"W10057641NS","","rod",1,"Read","keys","Study1","U","Study Phase",210,"Recall1"
"w10062326CT","house","rod",1,"Read","keys","Study1","U","Study Phase",2158,"Recall1"
"w10080028_sac","meat","rod",1,"Read","keys","Study1","U","Study Phase",899,"Recall1"
"w10085225L.S","car","rod",1,"Read","keys","Study1","U","Study Phase",924,"Recall1"
"w10101381_mgk","?","rod",1,"Read","keys","Study1","U","Study Phase",3424,"Recall1"
"w10118390Eh","car","rod",1,"Read","keys","Study1","U","Study Phase",515,"Recall1"
"w10128215_bnc","fob","rod",1,"Read","keys","Study1","U","Study Phase",1283,"Recall1"
"w10133134_lpc","rod","rod",1,"Read","keys","Study1","U","Study Phase",1512,"Recall1"
"w10143398_abc","idk","rod",1,"Read","keys","Study1","U","Study Phase",1720,"Recall1"
"w10157282_HBR","lock","rod",1,"Read","keys","Study1","U","Study Phase",1038,"Recall1"
"10143815SK","","stripes",1,"Read","lion","Study1","M","Study Phase",826,"Recall1"
"BrettThompson","strips","stripes",1,"Read Recall","lion","Study1","M","Study Phase",2536,"Recall1"
"BrookeMask","main","stripes",1,"Read Recall","lion","Study1","M","Study Phase",1410,"Recall1"
"jasminesherman","","stripes",1,"Read Recall","lion","Study1","M","Study Phase",810,"Recall1"
"NicolasMunoz","stripes","stripes",1,"Read Recall","lion","Study1","M","Study Phase",885,"Recall1"
"TaravionCosey","stripes ","stripes",1,"Read Recall","lion","Study1","M","Study Phase",8939,"Recall1"
"w10046339_pw","stripes","stripes",1,"Read","lion","Study1","M","Study Phase",1759,"Recall1"
