"Username","Response.Response","Stimuli.Answer","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.RT","Response.JOL","Procedure.Shuffle.1"
"w10162630_CAG","","dance",2,"JOL","circle","Study1","M","Study Phase",1796,"10","Recall1"
"w821455_akg","dance","dance",2,"JOL","circle","Study1","M","Study Phase",5296,"50","Recall1"
"w963035","ball","dance",2,"JOL","circle","Study1","M","Study Phase",1554,"0","Recall1"
"zoieperkins","","dance",2,"JOL Recall","circle","Study1","M","Study Phase",7405,"0","Recall1"
"10066214OD","pop","election",2,"JOL","crackle","Study1","U","Study Phase",9036,"9","Recall1"
"10150480SW","","election",2,"JOL","crackle","Study1","U","Study Phase",6016,"0","Recall1"
"AkiyahBrandon","pop","election",2,"JOL Recall","crackle","Study1","U","Study Phase",2449,"0","Recall1"
"AnnaKatePettis","election","election",2,"JOL Recall","crackle","Study1","U","Study Phase",3719,"3","Recall1"
"w100152402_MKT","soft","election",2,"JOL","crackle","Study1","U","Study Phase",6550,"10","Recall1"
"w10042654_kw","pop","election",2,"JOL","crackle","Study1","U","Study Phase",5627,"10","Recall1"
"w10090906KM","pop","election",2,"JOL","crackle","Study1","U","Study Phase",1755,"45","Recall1"
"w10098759_caa","fire","election",2,"JOL","crackle","Study1","U","Study Phase",30095,"0","Recall1"
"w10128905_IAT","","election",2,"JOL","crackle","Study1","U","Study Phase",9706,"20","Recall1"
"w10136452dns","","election",2,"JOL","crackle","Study1","U","Study Phase",2722,"5","Recall1"
"w10143335_at","fire","election",2,"JOL","crackle","Study1","U","Study Phase",3489,"0","Recall1"
"w10144355_HBL","pop","election",2,"JOL","crackle","Study1","U","Study Phase",1620,"0","Recall1"
"w10147711","pop","election",2,"JOL","crackle","Study1","U","Study Phase",3163,"1","Recall1"
"w10150573_kaj","engine","election",2,"JOL","crackle","Study1","U","Study Phase",6153,"0","Recall1"
"w10154902_ZD","barrel","election",2,"JOL","crackle","Study1","U","Study Phase",6291,"0","Recall1"
"W10156412_WAGR","","election",2,"JOL","crackle","Study1","U","Study Phase",3993,"0","Recall1"
"w10162630_CAG","","election",2,"JOL","crackle","Study1","U","Study Phase",2291,"60","Recall1"
"w821455_akg","election","election",2,"JOL","crackle","Study1","U","Study Phase",6611,"0","Recall1"
"w963035","crack","election",2,"JOL","crackle","Study1","U","Study Phase",2480,"0","Recall1"
"zoieperkins","","election",2,"JOL Recall","crackle","Study1","U","Study Phase",8744,"0","Recall1"
"10066214OD","salary","card",2,"JOL","credit","Study1","F","Study Phase",4395,"100","Recall1"
"10150480SW","card","card",2,"JOL","credit","Study1","F","Study Phase",4132,"98","Recall1"
"AkiyahBrandon","card","card",2,"JOL Recall","credit","Study1","F","Study Phase",2413,"100","Recall1"
"AnnaKatePettis","card","card",2,"JOL Recall","credit","Study1","F","Study Phase",7417,"99","Recall1"
"w100152402_MKT","cash","card",2,"JOL","credit","Study1","F","Study Phase",2518,"100","Recall1"
"w10042654_kw","card","card",2,"JOL","credit","Study1","F","Study Phase",3230,"98","Recall1"
"w10090906KM","card","card",2,"JOL","credit","Study1","F","Study Phase",4868,"100","Recall1"
"w10098759_caa","card","card",2,"JOL","credit","Study1","F","Study Phase",5977,"100","Recall1"
"w10128905_IAT","card","card",2,"JOL","credit","Study1","F","Study Phase",7395,"100","Recall1"
"w10136452dns","card","card",2,"JOL","credit","Study1","F","Study Phase",2501,"100","Recall1"
"w10143335_at","card","card",2,"JOL","credit","Study1","F","Study Phase",2548,"100","Recall1"
"w10144355_HBL","card","card",2,"JOL","credit","Study1","F","Study Phase",3174,"90","Recall1"
"w10147711","card","card",2,"JOL","credit","Study1","F","Study Phase",4768,"100","Recall1"
"w10150573_kaj","card","card",2,"JOL","credit","Study1","F","Study Phase",3572,"100","Recall1"
"w10154902_ZD","card","card",2,"JOL","credit","Study1","F","Study Phase",4614,"100","Recall1"
"W10156412_WAGR","card","card",2,"JOL","credit","Study1","F","Study Phase",2830,"100","Recall1"
"w10162630_CAG","","card",2,"JOL","credit","Study1","F","Study Phase",1006,"20","Recall1"
"w821455_akg","card","card",2,"JOL","credit","Study1","F","Study Phase",5078,"100","Recall1"
"w963035","card","card",2,"JOL","credit","Study1","F","Study Phase",2242,"100","Recall1"
"zoieperkins","card","card",2,"JOL Recall","credit","Study1","F","Study Phase",7682,"100","Recall1"
"10066214OD","baby","bottle",2,"JOL","cry","Study1","M","Study Phase",9833,"36","Recall1"
"10150480SW","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",22752,"60","Recall1"
"AkiyahBrandon","","bottle",2,"JOL Recall","cry","Study1","M","Study Phase",3697,"85","Recall1"
"AnnaKatePettis","laugh","bottle",2,"JOL Recall","cry","Study1","M","Study Phase",3656,"80","Recall1"
"w100152402_MKT","baby","bottle",2,"JOL","cry","Study1","M","Study Phase",3088,"30","Recall1"
"w10042654_kw","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",4160,"56","Recall1"
"w10090906KM","laugh","bottle",2,"JOL","cry","Study1","M","Study Phase",2026,"90","Recall1"
"w10098759_caa","whine","bottle",2,"JOL","cry","Study1","M","Study Phase",6383,"80","Recall1"
"w10128905_IAT","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",6138,"65","Recall1"
"w10136452dns","","bottle",2,"JOL","cry","Study1","M","Study Phase",6402,"40","Recall1"
"w10143335_at","baby","bottle",2,"JOL","cry","Study1","M","Study Phase",3682,"60","Recall1"
"w10144355_HBL","teras","bottle",2,"JOL","cry","Study1","M","Study Phase",17274,"60","Recall1"
"w10147711","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",4684,"0","Recall1"
"w10150573_kaj","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",2158,"10","Recall1"
"w10154902_ZD","baby","bottle",2,"JOL","cry","Study1","M","Study Phase",6881,"0","Recall1"
"W10156412_WAGR","","bottle",2,"JOL","cry","Study1","M","Study Phase",6647,"0","Recall1"
"w10162630_CAG","","bottle",2,"JOL","cry","Study1","M","Study Phase",3784,"80","Recall1"
"w821455_akg","bottle","bottle",2,"JOL","cry","Study1","M","Study Phase",5676,"75","Recall1"
"w963035","baby","bottle",2,"JOL","cry","Study1","M","Study Phase",1978,"0","Recall1"
"zoieperkins","sad","bottle",2,"JOL Recall","cry","Study1","M","Study Phase",5726,"0","Recall1"
"10066214OD","night","dark",2,"JOL","day","Study1","M","Study Phase",6940,"50","Recall1"
"10150480SW","night","dark",2,"JOL","day","Study1","M","Study Phase",11543,"95","Recall1"
"AkiyahBrandon","weaks","dark",2,"JOL Recall","day","Study1","M","Study Phase",6025,"15","Recall1"
"AnnaKatePettis","year","dark",2,"JOL Recall","day","Study1","M","Study Phase",7622,"25","Recall1"
"w100152402_MKT","night","dark",2,"JOL","day","Study1","M","Study Phase",3011,"50","Recall1"
"w10042654_kw","night","dark",2,"JOL","day","Study1","M","Study Phase",4027,"95","Recall1"
"w10090906KM","dark","dark",2,"JOL","day","Study1","M","Study Phase",3557,"65","Recall1"
"w10098759_caa","weak","dark",2,"JOL","day","Study1","M","Study Phase",6773,"45","Recall1"
"w10128905_IAT","dark","dark",2,"JOL","day","Study1","M","Study Phase",5563,"15","Recall1"
"w10136452dns","dark","dark",2,"JOL","day","Study1","M","Study Phase",6933,"75","Recall1"
"w10143335_at","night","dark",2,"JOL","day","Study1","M","Study Phase",2566,"100","Recall1"
"w10144355_HBL","dark","dark",2,"JOL","day","Study1","M","Study Phase",2139,"0","Recall1"
"w10147711","dark","dark",2,"JOL","day","Study1","M","Study Phase",5437,"60","Recall1"
"w10150573_kaj","weaks","dark",2,"JOL","day","Study1","M","Study Phase",3882,"0","Recall1"
"w10154902_ZD","night","dark",2,"JOL","day","Study1","M","Study Phase",5135,"30","Recall1"
